Date,Fixa11,Bitcoin,Ibovespa,SOJA,FERRO,BRENT,IBOVMM15,IBOVMM30,IBOVMM60,IBOVMM90,IBOVMM180,SELIC,IPCA,DOLAR/REAL
2021-03-31,12.800000190734863,58918.83203125,116634.0,0.21770104919698294,0.4049844622116743,0.11580683144817801,0.4409753555023307,0.4196976869475422,0.47842200611398517,0.4372245638548306,0.2932031442116439,0.06382978723404255,0.7,0.9195813750543552
2021-04-01,12.770000457763672,59095.80859375,115253.0,0.18006108560541634,0.4338714224451021,0.13391879092110495,0.4414522542774632,0.4160683990517352,0.47647867837249724,0.4413978781986301,0.2962153353856887,0.06382978723404255,0.4304347826086956,0.8100406100895299
2021-04-05,12.770000457763672,59057.87890625,117518.0,0.1912513817605853,0.47550272357613127,0.09673439324124472,0.44740551110606824,0.41491994931881976,0.47547614469647903,0.4462646164150361,0.29978685289347823,0.06382978723404255,0.4304347826086956,0.8719549878780297
2021-04-06,12.75,58192.359375,117499.0,0.20040704333600906,0.5032568883186589,0.10482989424370187,0.45210003882558775,0.41943064904216415,0.4740931774202372,0.45147522854370997,0.3031850278748792,0.06382978723404255,0.4304347826086956,0.8345566992500462
2021-04-07,12.720000267028809,56048.9375,117624.0,0.19633777417651727,0.5154347504449535,0.11059276664773984,0.45849119155552326,0.4216687254728951,0.4715459774879745,0.4567288840369184,0.3068672433596778,0.06382978723404255,0.4304347826086956,0.7802937567385645
2021-04-08,12.779999732971191,58323.953125,118313.0,0.19735509146639021,0.5239309056870376,0.11114162659350497,0.46161851289133676,0.42413835924814786,0.46756877057619556,0.46190070983711146,0.3103444049468183,0.06382978723404255,0.4304347826086956,0.7950500962013856
2021-04-09,12.739999771118164,58245.00390625,117670.0,0.1902340644707127,0.5143019009368156,0.10771133044572086,0.466644565038179,0.429193405470916,0.464548233629742,0.46562987341939743,0.3134336372437024,0.06382978723404255,0.4304347826086956,0.759525202975989
2021-04-12,12.75,59893.453125,118812.0,0.17090542402999293,0.46020957931969525,0.11223929414287002,0.47123626699949145,0.4373884813292879,0.46149888486503454,0.4697350751863506,0.3169858944707819,0.06382978723404255,0.4304347826086956,0.8475170809580824
2021-04-13,12.75,63503.45703125,119297.0,0.17090542402999293,0.4610592164507985,0.1175905477586667,0.47889146741221245,0.4457562914970839,0.45988601103904286,0.4740252215196013,0.3201782373613654,0.06382978723404255,0.4304347826086956,0.8888196417615285
2021-04-14,12.720000267028809,63109.6953125,120295.0,0.18718211260109385,0.49674316569857874,0.15751924516735266,0.4913599770237616,0.45393082597811946,0.45801265485617293,0.4786228204566667,0.32326552417534876,0.06382978723404255,0.4304347826086956,0.8764054188483235
2021-04-15,12.760000228881836,63314.01171875,120701.0,0.19735509146639021,0.5372416173214699,0.16245887999490824,0.5066721507071048,0.4628168390741813,0.4581296661180664,0.4842104167780201,0.32645436519671206,0.06382978723404255,0.4304347826086956,0.8269052639730279
2021-04-16,12.84000015258789,61572.7890625,121114.0,0.2126144627476182,0.5335599104372593,0.16012619905432374,0.5197274762835935,0.4706823191961972,0.45805440259282926,0.4888359229514312,0.32972744562764406,0.06382978723404255,0.4304347826086956,0.7973140305104333
2021-04-19,12.869999885559082,55724.265625,120934.0,0.2258393934825334,0.5261965506860756,0.16396821867467973,0.5306358709430362,0.47603428169137696,0.4582078696247584,0.49314971948497444,0.3333540203015037,0.06382978723404255,0.4304347826086956,0.7745160891605163
2021-04-20,12.829999923706056,56473.03125,120062.0,0.25737545333486267,0.49674316569857874,0.1573820040098287,0.538867250173297,0.48485773695645873,0.4584160203117447,0.4965283870989099,0.3367936340686744,0.06382978723404255,0.4304347826086956,0.7428950958141973
2021-04-22,12.90999984741211,51762.2734375,119371.0,0.32349952490913897,0.48824695643925736,0.14132824316243836,0.5433366249395013,0.49236467667405215,0.4589616808697166,0.4992193068883092,0.33969123629990966,0.06382978723404255,0.4304347826086956,0.7605404552142342
2021-04-23,12.920000076293944,51093.65234375,120530.0,0.32756879406863076,0.5075049659397008,0.1510702716600256,0.5502436793183718,0.4996045784862687,0.46093617241462476,0.5024853995488484,0.34288591376997263,0.06382978723404255,0.4304347826086956,0.6631793664409061
2021-04-26,12.93000030517578,54021.75390625,120595.0,0.37232959062244214,0.5669782146860013,0.14475853931022248,0.5597142862208171,0.5048435634060964,0.4633651850924125,0.5058077796860857,0.345802192637048,0.06382978723404255,0.4304347826086956,0.6897252154851469
2021-04-27,12.90999984741211,55033.1171875,119388.0,0.34181084805998585,0.5819881465654031,0.15532380538429208,0.5630295304940418,0.5097249416204721,0.4654267000883754,0.5089608243892213,0.3485996024989342,0.06382978723404255,0.4304347826086956,0.6570111599563967
2021-04-28,12.920000076293944,54824.703125,121053.0,0.31332654604384264,0.5819881465654031,0.16698679134989197,0.5693302674710713,0.515515742631481,0.4664492256382854,0.5118277016688056,0.352128903027794,0.06382978723404255,0.4304347826086956,0.6692693906848467
